# Longitud de onda (micrones)	Flujo (W)
6.416547445212434919e-01	1.593270834296370528e-36
6.418020838479440160e-01	1.598602622879443577e-36
6.419494231746445401e-01	1.603934411462475533e-36
6.420967625013450641e-01	1.609266200045548582e-36
6.422441018280456992e-01	1.614597988628623970e-36
6.423914411547462233e-01	1.619929777211700695e-36
6.425387804814467474e-01	1.625261565794774746e-36
6.426861198081472715e-01	1.630593354377851137e-36
6.428334591348477955e-01	1.635925142960882424e-36
6.429807984615483196e-01	1.641256931543952801e-36
6.431281377882488437e-01	1.646588720127030528e-36
6.432754771149493678e-01	1.651921911786314584e-36
6.434228164416500029e-01	1.657391044197476318e-36
6.435701557683505269e-01	1.664369491424939237e-36
6.437174950950510510e-01	1.673968823617100181e-36
6.438648344217515751e-01	1.684330868947897703e-36
6.440121737484520992e-01	1.694725067710479642e-36
6.441595130751526233e-01	1.705119354832480917e-36
6.443068524018531473e-01	1.715513641954475177e-36
6.444541917285536714e-01	1.725907929076469770e-36
6.446015310552543065e-01	1.736302216198473718e-36
6.447488703819548306e-01	1.746696503320473323e-36
6.448962097086553547e-01	1.757090790442376375e-36
6.450435490353559898e-01	1.767485077564378319e-36
6.451908883620565138e-01	1.777879364686378258e-36
6.453382276887570379e-01	1.788273651808380870e-36
6.454855670154576730e-01	1.798667938930375797e-36
6.456329063421581971e-01	1.809062226052373398e-36
6.457802456688587212e-01	1.819456513174364316e-36
6.459275849955592452e-01	1.829850800296366594e-36
6.460749243222597693e-01	1.840245087418284680e-36
6.462222636489602934e-01	1.850639374540261566e-36
6.463696029756608175e-01	1.861033661662256828e-36
6.465169423023613415e-01	1.871427948784257435e-36
6.466642816290619766e-01	1.881822235906249022e-36
6.468116209557625007e-01	1.892216523028249295e-36
6.469589602824630248e-01	1.902610810150243889e-36
6.471062996091635489e-01	1.913005097272237814e-36
6.472536389358640729e-01	1.923399384394227062e-36
6.474009782625645970e-01	1.933793671516223995e-36
6.475483175892651211e-01	1.944187958638126712e-36
6.476956569159656452e-01	1.954582245760114624e-36
6.478429962426662803e-01	1.964976532882110220e-36
6.479903355693668043e-01	1.975370820004107152e-36
6.481376748960674394e-01	1.985765107126106423e-36
6.482850142227679635e-01	1.996159394248103689e-36
6.484323535494684876e-01	2.006553681370095944e-36
6.485796928761690117e-01	2.016947968492095549e-36
6.487270322028695357e-01	2.027342255614077113e-36
6.488743715295701708e-01	2.037736542736078388e-36
6.490217108562706949e-01	2.048130829858065632e-36
6.491690501829712190e-01	2.058525116980059891e-36
6.493163895096717431e-01	2.068919404102008380e-36
6.494637288363722671e-01	2.079313691223951189e-36
6.496110681630727912e-01	2.089707978345945114e-36
6.497584074897733153e-01	2.100102265467934696e-36
6.499057468164738394e-01	2.110496552589921940e-36
6.500530861431744745e-01	2.120890839711917536e-36
6.502004254698749985e-01	2.131285126833901438e-36
6.503477647965755226e-01	2.141679413955893025e-36
6.504951041232760467e-01	2.152073701077888955e-36
6.506424434499765708e-01	2.162467988199877201e-36
6.507897827766770948e-01	2.172862275321872462e-36
6.509371221033776189e-01	2.183256562443855697e-36
6.510844614300781430e-01	2.193650849565849956e-36
6.512318007567788891e-01	2.204045136687845886e-36
6.513791400834794132e-01	2.214439423809837139e-36
6.515264794101799373e-01	2.224833710931825719e-36
6.516738187368804613e-01	2.235227998053812628e-36
6.518211580635809854e-01	2.245622285175796531e-36
6.519684973902815095e-01	2.256016572297790122e-36
6.521158367169821446e-01	2.266410859419777700e-36
6.522631760436826687e-01	2.276805146541767616e-36
6.524105153703831927e-01	2.287199433663757532e-36
6.525578546970837168e-01	2.297593720785727403e-36
6.527051940237842409e-01	2.307988007907640811e-36
6.528525333504847650e-01	2.318382295029625048e-36
6.529998726771852890e-01	2.328776582151609284e-36
6.531472120038858131e-01	2.339170869273596194e-36
6.532945513305863372e-01	2.349565156395583103e-36
6.534418906572869723e-01	2.359959443517573019e-36
6.535892299839874964e-01	2.370353730639559260e-36
6.537365693106880205e-01	2.380748017761544834e-36
6.538839086373885445e-01	2.391142304883528736e-36
